"INTERNATIONAL","INTERNATIONAL"
"TOTAL","TOTAL"
"Well taken care of %1 package","Bien pris en charge %1 colis"
"Client's signature","Signature du client"
"Signature of Chronopost Messenger","Signature du Messager Chronopost"
"One or several packages are above the weight limit (%1 kg)","Un ou plusieurs colis dépassent la limite de poids (%1 kg)"
"One or several packages are above the size limit (%1 cm)","Un ou plusieurs colis dépassent la limite de taille (%1 cm)"
"One or several packages are above the total (L+2H+2l) size limit (%1 cm)","Un ou plusieurs colis dépassent la limite globale (L+2H+2l) de taille (%1 cm)"
"Order %1","Commande %1"
"Contract","Contrat"
